var,index,value,fractionality
Y,"('LH518B_3', 'C0477', 1, 142.0)",0.7152093694023369,0.2847906305976631
Y,"('LH518B_11', 'N2675', 1, 50.0)",0.2817487952598111,0.2817487952598111
Z,"('LH518B_11', 1, 50.0)",0.7182512047401889,0.2817487952598111
Sv,"('station_2', 1, 180.0, 179.0)",0.2815241832603771,0.2815241832603771
X_dch,"('station_2', 1, 179.0)",0.2815241832603771,0.2815241832603771
X_ini,"('station_2', 1, 179.0)",0.2815241832603771,0.2815241832603771
N_chargers,station_1,0.2815241832603766,0.2815241832603766
N_chargers,station_2,0.2815241832603766,0.2815241832603766
Sv,"('station_1', 1, 180.0, 179.0)",0.28152418326037526,0.28152418326037526
X_dch,"('station_1', 1, 179.0)",0.28152418326037526,0.28152418326037526
X_ini,"('station_1', 1, 179.0)",0.28152418326037526,0.28152418326037526
Y,"('LH518B_9', 'N2828', 1, 143.0)",0.2797902612519777,0.2797902612519777
Z,"('LH518B_9', 1, 143.0)",0.7202097387480223,0.2797902612519777
Y,"('LH518B_9', 'N2822', 1, 142.0)",0.27978610473858045,0.27978610473858045
